code_2021,code_2011,name_2021
E06000058,E06000028,"Bournemouth, Christchurch and Poole"
E06000058,E06000029,"Bournemouth, Christchurch and Poole"
E06000058,E07000048,"Bournemouth, Christchurch and Poole"
E06000059,E07000053,Dorset
E06000059,E07000052,Dorset
E06000059,E07000050,Dorset
E06000059,E07000049,Dorset
E06000059,E07000051,Dorset
E06000060,E07000004,Buckinghamshire
E06000060,E07000005,Buckinghamshire
E06000060,E07000006,Buckinghamshire
E06000060,E07000007,Buckinghamshire
E06000061,E07000150,North Northamptonshire
E06000061,E07000152,North Northamptonshire
E06000061,E07000153,North Northamptonshire
E06000061,E07000156,North Northamptonshire
E06000062,E07000151,West Northamptonshire
E06000062,E07000154,West Northamptonshire
E06000062,E07000155,West Northamptonshire
E07000244,E07000205,East Suffolk
E07000244,E07000206,East Suffolk
E07000245,E07000201,West Suffolk
E07000245,E07000204,West Suffolk
E07000246,E07000190,Somerset West and Taunton
E07000246,E07000191,Somerset West and Taunton
